Type,Date,Time,Uservisits,Pages,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node
ScalaSparkAggregation,2018-01-25,02:45:25,100000000,12000000,3686326559,72.262,51013348,51013348
MapRScalaSparkAggregation,2018-01-25,02:54:49,100000000,12000000,7168180224,556.798,12873933,12873933
ScalaSparkJoin,2018-01-25,02:58:24,100000000,12000000,19197807276,76.567,250732133,250732133
MapRScalaSparkJoin,2018-01-25,03:06:19,100000000,12000000,25699491840,474.889,54116839,54116839
ScalaSparkScan,2018-01-25,03:09:53,100000000,12000000,20097928128,71.656,280477951,280477951
MapRScalaSparkScan,2018-01-25,03:28:17,100000000,12000000,24833884160,1096.610,22646049,22646049
MapRDBScanVerifier,2018-01-25,03:37:02,100000000,12000000,24833884160,516.848,48048718,48048718
ScalaSparkScanRDD,2018-01-25,04:14:43,6000000000,12000000,1205892031223,1085.453,1110957389,1110957389
MapRScalaSparkScanRDD,2018-01-25,07:44:09,6000000000,12000000,1482578493440,12557.963,118058835,118058835
ScalaSparkSleep,2018-01-25,07:46:14,0,0,0,124.865,0,0
ScalaSparkSort,2018-01-25,07:47:55,0,0,32849199390,62.817,522934864,522934864
ScalaSparkTerasort,2018-01-25,08:07:03,0,0,320000000000,1017.767,314413809,314413809
ScalaSparkWordcount,2018-01-25,08:10:55,0,0,328491370092,96.925,3389129430,3389129430
ScalaSparkPagerank,2018-01-25,08:29:50,0,0,19933854201,1046.170,19054125,19054125
ScalaSparkBayes,2018-01-25,08:31:23,0,0,3763302528,53.854,69879721,69879721
ScalaSparkKmeans,2018-01-25,08:37:55,0,0,40163644394,73.491,546511061,546511061
LogisticRegression,2018-01-25,08:47:31,0,0,40000622350,521.710,76672140,76672140
ALS,2018-01-25,09:01:45,0,0,19201355750,810.287,23696981,23696981
GradientBoostingTree,2018-01-25,09:19:51,0,0,64077530,1049.976,61027,61027
RandomForest,2018-01-25,09:26:59,0,0,24000622350,381.360,62934293,62934293
SVD,2018-01-25,09:45:13,0,0,288211500,1057.012,272666,272666
